date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:18	87190/87190	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2003:43:18%20GMT	https://www.bashundharagroup.com/	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/index.html	(from )
09:43:18	157/157	---M-Z	200	added ('OK')	text/plain	etag:%22126-56f97d375a280-gzip%22	https://www.bashundharagroup.com/robots.txt		(from )
09:43:19	701/701	---M-Z	200	added ('OK')	text/plain	etag:%222bd-56f97d375a280-gzip%22	https://www.bashundharagroup.com/humans.txt	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/humans.txt	(from https://www.bashundharagroup.com/)
09:43:19	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-56f98fb193a80-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap.min.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap.min.css	(from https://www.bashundharagroup.com/)
09:43:19	34243/34243	---M-Z	200	added ('OK')	text/css	etag:%2285c3-56f98fabdad00-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap-grid.min.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap-grid.min.css	(from https://www.bashundharagroup.com/)
09:43:19	3936/3936	---M-Z	200	added ('OK')	text/css	etag:%22f60-56f98fadc3180-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap-reboot.min.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/bootstrap/css/bootstrap-reboot.min.css	(from https://www.bashundharagroup.com/)
09:43:19	35359/35359	---M-Z	200	added ('OK')	text/css	etag:%228a1f-56f98fc877080-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/font-awesome/css/fontawesome-all.min.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/font-awesome/css/fontawesome-all.min.css	(from https://www.bashundharagroup.com/)
09:43:20	25379/25379	---M-Z	200	added ('OK')	text/css	etag:%226323-56f981d217f80-gzip%22	https://www.bashundharagroup.com/assets/frontend/fonts/style.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/fonts/style.css	(from https://www.bashundharagroup.com/)
09:43:20	41626/41626	---M-Z	200	added ('OK')	text/css	etag:%22a29a-56f98fa9f2880-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/animate.css/css/animate.min.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/animate.css/css/animate.min.css	(from https://www.bashundharagroup.com/)
09:43:20	7479/7479	---M-Z	200	added ('OK')	text/css	etag:%221d37-56f98fbeeda00-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/dropdown/css/style.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/dropdown/css/style.css	(from https://www.bashundharagroup.com/)
09:43:20	5209/5209	---M-Z	200	added ('OK')	text/css	etag:%221459-56f98fc0d5e80-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/flex-slider/css/flexslider.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/flex-slider/css/flexslider.css	(from https://www.bashundharagroup.com/)
09:43:21	3025/3025	---M-Z	200	added ('OK')	text/css	etag:%22bd1-56f98fbb1d100-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/colorbox/example3/colorbox.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/colorbox/example3/colorbox.css	(from https://www.bashundharagroup.com/)
09:43:21	1162/1162	---M-Z	200	added ('OK')	text/css	etag:%2248a-56f98fdd72200-gzip%22	https://www.bashundharagroup.com/assets/frontend/plugins/isotope/css/isotope.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/plugins/isotope/css/isotope.css	(from https://www.bashundharagroup.com/)
09:43:21	68148/68148	---M-Z	200	added ('OK')	text/css	etag:%2210a34-5d6dc3a406080-gzip%22	https://www.bashundharagroup.com/assets/frontend/css/main.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/css/main.css	(from https://www.bashundharagroup.com/)
09:43:21	4527/4527	---M-Z	200	added ('OK')	text/css	etag:%2211af-5aa8aa1a97780-gzip%22	https://www.bashundharagroup.com/assets/frontend/css/main-responsive.css	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/assets/frontend/css/main-responsive.css	(from https://www.bashundharagroup.com/)
09:43:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Oct%202024%2003:43:21%20GMT	http://www.bashundharagroup.com/page/corporate-profile	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/page/corporate-profile.d.delayed	(from https://www.bashundharagroup.com/)
09:43:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Oct%202024%2003:43:22%20GMT	http://www.bashundharagroup.com/page/mission-vision-values	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/page/mission-vision-values	(from https://www.bashundharagroup.com/)
09:43:23	59188/59188	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2003:43:21%20GMT	https://www.bashundharagroup.com/page/corporate-profile	E:/Rayhan/bashundharagroupclon/www.bashundharagroup.com/page/corporate-profile.html	(from https://www.bashundharagroup.com/)
